metric_name,level,category,needed_input,reason
loc:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
cc_avg:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
code_smells:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
eslint_warnings:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
coverage_pct:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
pass_rate_pct:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_pre_release:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_post_integration:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
security_issues:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
critical_security:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
integration_success:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
perf_score:Manual,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for perf_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
scalability_score:Manual,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for scalability_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
tdi:Manual,approach,FORMULA_NOT_RECONSTRUCTABLE,Exact formula/normalization and supporting inputs for tdi,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
risk_score:Manual,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
loc:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
cc_avg:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
code_smells:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
eslint_warnings:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
coverage_pct:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
pass_rate_pct:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_post_integration:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
security_issues:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
critical_security:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
integration_success:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
perf_score:Full-AI,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for perf_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
scalability_score:Full-AI,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for scalability_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
tdi:Full-AI,approach,FORMULA_NOT_RECONSTRUCTABLE,Exact formula/normalization and supporting inputs for tdi,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
risk_score:Full-AI,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
loc:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
cc_avg:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
code_smells:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
eslint_warnings:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
coverage_pct:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
pass_rate_pct:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_pre_release:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
bugs_post_integration:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
security_issues:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
critical_security:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
integration_success:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
perf_score:Hybrid,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for perf_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
scalability_score:Hybrid,approach,MISSING_RUBRIC_MAPPING,Rubric thresholds and source signals for scalability_score,"Rubric threshold mappings were not recovered, so this rubric metric cannot be recomputed."
tdi:Hybrid,approach,FORMULA_NOT_RECONSTRUCTABLE,Exact formula/normalization and supporting inputs for tdi,"This metric is preserved from the paper, but the exact formula or normalization needed to recompute it was not recovered."
risk_score:Hybrid,approach,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
mi_vs_loc,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
mi_vs_average_cc,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
mi_vs_code_smells,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
average_cc_vs_bugs_pre,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
security_issues_vs_critical,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
coverage_vs_bugs_post,correlation,INSUFFICIENT_SOURCE_DATA,"Recovered session-level rows, per-cell supplementary statistics, or supporting raw fields","The available source data does not include enough repetition-level, cell-level, or supporting metric inputs to reconstruct this value exactly."
