task_id,approach,dev_time_min_mean,dev_time_min_std,dev_time_min_count,build_time_sec_mean,build_time_sec_std,build_time_sec_count,loc_mean,loc_std,loc_count,maintainability_index_mean,maintainability_index_std,maintainability_index_count,cc_avg_mean,cc_avg_std,cc_avg_count,cc_max_mean,cc_max_std,cc_max_count,code_smells_mean,code_smells_std,code_smells_count,eslint_warnings_mean,eslint_warnings_std,eslint_warnings_count,coverage_pct_mean,coverage_pct_std,coverage_pct_count,pass_rate_pct_mean,pass_rate_pct_std,pass_rate_pct_count,bugs_pre_release_mean,bugs_pre_release_std,bugs_pre_release_count,bugs_post_integration_mean,bugs_post_integration_std,bugs_post_integration_count,security_issues_mean,security_issues_std,security_issues_count,critical_security_mean,critical_security_std,critical_security_count,refactor_delta_loc_mean,refactor_delta_loc_std,refactor_delta_loc_count,integration_success_mean,integration_success_std,integration_success_count,perf_score_mean,perf_score_std,perf_score_count,scalability_score_mean,scalability_score_std,scalability_score_count,html_structural_clarity_mean,html_structural_clarity_std,html_structural_clarity_count,html_semantic_correctness_mean,html_semantic_correctness_std,html_semantic_correctness_count,html_accessibility_mean,html_accessibility_std,html_accessibility_count,css_style_consistency_mean,css_style_consistency_std,css_style_consistency_count,css_design_system_compliance_mean,css_design_system_compliance_std,css_design_system_compliance_count,css_override_conflicts_mean,css_override_conflicts_std,css_override_conflicts_count,fe_logic_correctness_mean,fe_logic_correctness_std,fe_logic_correctness_count,fe_edge_case_coverage_mean,fe_edge_case_coverage_std,fe_edge_case_coverage_count,fe_state_coherence_mean,fe_state_coherence_std,fe_state_coherence_count,fe_async_handling_mean,fe_async_handling_std,fe_async_handling_count,be_api_alignment_mean,be_api_alignment_std,be_api_alignment_count,be_authentication_correctness_mean,be_authentication_correctness_std,be_authentication_correctness_count,be_authorization_accuracy_mean,be_authorization_accuracy_std,be_authorization_accuracy_count,be_db_consistency_mean,be_db_consistency_std,be_db_consistency_count,be_validation_robustness_mean,be_validation_robustness_std,be_validation_robustness_count,be_security_exposure_mean,be_security_exposure_std,be_security_exposure_count,cfr_mean,cfr_std,cfr_count,productivity_mean,productivity_std,productivity_count,stability_mean,stability_std,stability_count,risk_score_mean,risk_score_std,risk_score_count,rework_ratio_mean,rework_ratio_std,rework_ratio_count,layer_imbalance_score_mean,layer_imbalance_score_std,layer_imbalance_score_count
T1,Full-AI,20.0,,1,,,0,,,0,73.2,,1,,,0,,,0,,,0,,,0,,,0,,,0,2.0,,1,,,0,1.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.129,,1,,,0
T1,Hybrid,42.0,,1,,,0,,,0,76.9,,1,,,0,,,0,,,0,,,0,,,0,,,0,0.0,,1,,,0,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.073,,1,,,0
T1,Manual,95.0,,1,,,0,,,0,82.4,,1,,,0,,,0,,,0,,,0,,,0,,,0,0.0,,1,,,0,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.056,,1,,,0
T2,Full-AI,49.0,,1,,,0,,,0,57.9,,1,,,0,,,0,,,0,,,0,,,0,,,0,5.0,,1,,,0,4.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.187,,1,,,0
T2,Hybrid,120.0,,1,,,0,,,0,71.1,,1,,,0,,,0,,,0,,,0,,,0,,,0,4.0,,1,,,0,1.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.093,,1,,,0
T2,Manual,211.0,,1,,,0,,,0,79.9,,1,,,0,,,0,,,0,,,0,,,0,,,0,1.0,,1,,,0,1.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.064,,1,,,0
T3,Full-AI,56.0,,1,,,0,,,0,49.1,,1,,,0,,,0,,,0,,,0,,,0,,,0,21.0,,1,,,0,9.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.241,,1,,,0
T3,Hybrid,200.0,,1,,,0,,,0,69.7,,1,,,0,,,0,,,0,,,0,,,0,,,0,3.0,,1,,,0,2.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.098,,1,,,0
T3,Manual,341.0,,1,,,0,,,0,73.8,,1,,,0,,,0,,,0,,,0,,,0,,,0,2.0,,1,,,0,1.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.065,,1,,,0
T4,Full-AI,71.0,,1,,,0,,,0,47.9,,1,,,0,,,0,,,0,,,0,,,0,,,0,20.0,,1,,,0,12.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.261,,1,,,0
T4,Hybrid,214.0,,1,,,0,,,0,67.4,,1,,,0,,,0,,,0,,,0,,,0,,,0,8.0,,1,,,0,3.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.109,,1,,,0
T4,Manual,414.0,,1,,,0,,,0,73.5,,1,,,0,,,0,,,0,,,0,,,0,,,0,5.0,,1,,,0,2.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.065,,1,,,0
T5,Full-AI,75.0,,1,,,0,,,0,43.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,18.0,,1,,,0,7.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.205,,1,,,0
T5,Hybrid,195.0,,1,,,0,,,0,62.8,,1,,,0,,,0,,,0,,,0,,,0,,,0,7.0,,1,,,0,2.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.13,,1,,,0
T5,Manual,394.0,,1,,,0,,,0,72.1,,1,,,0,,,0,,,0,,,0,,,0,,,0,2.0,,1,,,0,1.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.083,,1,,,0
